ano,mês,dia,hora,min,latit,longit,ss.s,mag,estado,cidade,
1947,3,4,,,-2450,-44400,  0.0, 3.0,MA,Alcântara Itauna,
1947,11,2,,,-9980,-67810,  0.0, 0.0,AC,Rio_Branco,
1947,11,18,,,-5110,-38370,  0.0, 0.0,CE,MORADA NOVA,
1947,12,15,19,5,-21700,-57900,  0.0, 3.5,MS,Pto. MURTINHO,
1948,1,21,16,47,-30500,-58000,  0.0, 5.5,AR,M.Caseros,Corrientes
1948,5,,,,-15070,-49970,  0.0, 3.0,GO,EMBIARA,
1948,10,4,12,55,-19950,-43250,  0.0, 0.0,MG,PANTAME,
1949,7,12,,,-8150,-35080,  0.0, 3.3,PE,Jaboatão Moreno Vit.,
1949,9,17,2,,3830,-51840,  0.0, 5.0,AP,OIAPOQUE,
1949,12,31,,,-5690,-36240,  0.0, 0.0,RN,LAJES (6 MM??),
1950,2,27,8,58,-21600,-46800,  0.0, 4.3,SP,Caconde P.de_Caldas,
1950,1,,,,-17110,-43810,  0.0, 3.0,MG,Bocaiúva P.Albuquerque,
1950,2,,,,-5540,-35820,  0.0, 0.0,RN,J.Câmara Itaretama?,
1950,4,,,,-16940,-43730,  0.0, 0.0,MG,Pires Albuquerque,
1950,4,7,12,,-5540,-35820,  0.0, 3.0,RN,JOAO CAMARA,
1950,4,27,,,-5540,-35820,  0.0, 0.0,RN,JOAO CAMARA,
1950,12,6,11,45,-5540,-35820,  0.0, 0.0,RN,JOAO CAMARA,
1951,4,24,23,,3830,-51840,  0.0, 4.7,AP,OIAPOQUE Macapá(?),
1951,12,28,,,-10000,-71500,  0.0, 0.0,AC,Acre,
1952,3,,,,-5540,-35820,  0.0, 0.0,RN,João Câmara,
1952,8,16,,,-3200,-59770,  0.0, 0.0,AM,CAREIRO,
1953,3,19,,,2820,-60680,  0.0, 0.0,RR,BOA VISTA,
1954,,,,,-9930,-36490,  0.0, 3.0,AL,JUNQUEIRO,
1955,1,31,5,3,-12520,-57290,  0.0, 6.3,MT,SA. TOMBADOR,
1955,2,28,,,-12310,-38380,  0.0, 0.0,BA,Pau_Lavrado Catu,
1955,3,1,1,46,-19880,-36840,  0.0, 6.1,ES,Frente a VITORIA,
