#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
usp2021fhre|2021-03-17T08:18:35.25334|8.156144|-60.208836|10.0|jroberto||USP|usp2021fhre|mb|4.27174596|jroberto|Near Coast of Venezuela
usp2021fhdz|2021-03-17T01:38:35.02|-21.925167|-49.821167|0.0|jroberto||USP|usp2021fhdz|mR|3.005249203|jroberto|Guaimbê/SP
usp2021fhbe|2021-03-17T00:13:09.897852|-38.501045|-82.788300|10.0|cleusa||USP|usp2021fhbe|mb|4.958585183|cleusa|Southeast Central Pacific Ocean
usp2021fhax|2021-03-17T00:04:58.115713|-1.806261|69.144547|10.0|cleusa||USP|usp2021fhax|mb|5.082852411|cleusa|Carlsberg Ridge
usp2021fgsn|2021-03-16T19:51:26.296634|54.589592|163.129761|10.0|cleusa||USP|usp2021fgsn|mb|5.240824323|cleusa|Off East Coast of Kamchatka
usp2021fgqd|2021-03-16T18:38:21.404309|54.732250|163.025207|14.5823946|jroberto||USP|usp2021fgqd|mB|6.605510924|jroberto|Off East Coast of Kamchatka
usp2021ffxi|2021-03-16T09:08:52.674856|-17.892464|-178.343979|479.5016479|cleusa||USP|usp2021ffxi|mb|4.050527353|cleusa|Fiji Islands Region
usp2021ffmy|2021-03-16T03:53:55.454458|-34.655411|-71.594818|43.32286835|cleusa||USP|usp2021ffmy|mb|5.024630116|cleusa|Near Coast of Central Chile
usp2021fexk|2021-03-15T20:03:25.44|-3.238833|-40.459833|0.0|jroberto||USP|usp2021fexk|mR|2.117969605|jroberto|Senador Sa/CE
usp2021fehh|2021-03-15T11:41:36.001858|-4.024338|151.773163|74.0|cleusa||USP|usp2021fehh||||New Britain Region, P.N.G.
usp2021fdwn|2021-03-15T06:27:25.13316|7.938547|-37.940735|10.0|cleusa||USP|usp2021fdwn|mb|4.460803895|cleusa|Central Mid Atlantic Ridge
usp2021fcyi|2021-03-14T18:14:23.829671|6.263056|-74.443642|82.0|cleusa||USP|usp2021fcyi|mb|4.772093829|cleusa|Northern Colombia
usp2021fcsc|2021-03-14T15:06:37.649125|-40.471363|-84.690575|108.5909424|jroberto||USP|usp2021fcsc|mb|4.636572716|jroberto|Southeast Central Pacific Ocean
usp2021fcqr|2021-03-14T14:22:32.6|-5.604333|-35.224500|0.0|jroberto||USP|usp2021fcqr|mR|1.661865819|jroberto|Maxaranguape/RN
usp2021fcpd|2021-03-14T13:35:33.659822|-59.306404|-29.654013|10.0|jroberto||USP|usp2021fcpd|mb|4.993035016|jroberto|South Sandwich Islands Region
usp2021fcnt|2021-03-14T12:54:07.030538|28.104753|56.924423|10.0|jroberto||USP|usp2021fcnt|mb|4.796919395|scmag@seisMaster|Southern Iran
usp2021fcmf|2021-03-14T12:05:08.32974|-60.066952|-29.690611|2.755627871|jroberto||USP|usp2021fcmf|mb|5.435617072|jroberto|South Sandwich Islands Region
usp2021fbuw|2021-03-14T03:21:15.011754|-15.460873|-70.271866|216.0147095|jroberto||USP|usp2021fbuw|mb|4.353415553|jroberto|Southern Peru
usp2021fbja|2021-03-13T21:21:56.187241|-28.556963|-176.658218|10.0|cleusa||USP|usp2021fbja|mb|5.262610344|cleusa|Kermadec Islands Region
usp2021farb|2021-03-13T12:17:22.766491|-22.857035|-69.279274|70.0|cleusa||USP|usp2021farb|mb|4.432757288|cleusa|Northern Chile
usp2021fail|2021-03-13T07:57:54.081329|11.353425|-85.846497|163.0|cleusa||USP|usp2021fail|mb|4.628959472|cleusa|Nicaragua
usp2021ezvz|2021-03-13T01:38:44.6842|-50.278862|-28.473515|10.0|cleusa||USP|usp2021ezvz|mb|4.937952115|cleusa|South Georgia Rise
usp2021ezmw|2021-03-12T21:02:20.0000|-25.800000|-56.890000|0.0|jroberto||USP|usp2021ezmw||||Paraguay
usp2021ezcx|2021-03-12T16:00:27.255783|-33.184021|-71.747307|23.0|cleusa||USP|usp2021ezcx|mb|4.333955501|cleusa|Near Coast of Central Chile
usp2021ezae|2021-03-12T14:38:01.0000|-11.176000|-40.536200|0.0|jroberto||USP|usp2021ezae|MLv|1.471885516|jroberto|Jacobina/BA
usp2021eyww|2021-03-12T12:57:51.653207|39.791393|22.136530|10.0|cleusa||USP|usp2021eyww|mb|5.259277119|cleusa|Greece
usp2021eytx|2021-03-12T11:25:52.161733|15.675658|-94.296455|58.0|cleusa||USP|usp2021eytx|mb|4.773330596|cleusa|Near Coast of Oaxaca, Mexico
usp2021eype|2021-03-12T09:04:47.155451|-24.307383|-67.277954|192.2960358|cleusa||USP|usp2021eype|mb|3.885648986|cleusa|Chile-Argentina Border Region
usp2021eykr|2021-03-12T06:48:12.549331|11.859720|-85.761978|157.0|cleusa||USP|usp2021eykr|mb|4.529662258|cleusa|Nicaragua
usp2021exzs|2021-03-12T01:16:14.976031|-4.661756|138.792206|10.0|jroberto||USP|usp2021exzs|mb|4.988163441|jroberto|Irian Jaya, Indonesia
usp2021exxi|2021-03-12T00:03:19.583262|-25.159933|178.392166|558.0|cleusa||USP|usp2021exxi|mb|5.181345479|cleusa|South of Fiji Islands
usp2021extk|2021-03-11T22:03:58.785211|-24.240965|-67.427879|238.7413025|jroberto||USP|usp2021extk|mb|4.717415137|jroberto|Chile-Argentina Border Region
